Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
French Polynesia,PYF,Population density (people per sq. km of land area),EN.POP.DNST,79.8022727272727
Gabon,GAB,People practicing open defecation (% of population),SH.STA.ODFC.ZS,2.007312407
Gabon,GAB,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Gabon,GAB,Net migration,SM.POP.NETM,..
Gabon,GAB,Population growth (annual %),SP.POP.GROW,2.41695722640636
Gabon,GAB,Population density (people per sq. km of land area),EN.POP.DNST,8.63790119144642
"Gambia, The",GMB,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0.100256752
"Gambia, The",GMB,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
"Gambia, The",GMB,Net migration,SM.POP.NETM,..
"Gambia, The",GMB,Population growth (annual %),SP.POP.GROW,2.89536550569189
"Gambia, The",GMB,Population density (people per sq. km of land area),EN.POP.DNST,238.800790513834
Georgia,GEO,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0.006699807
Georgia,GEO,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Georgia,GEO,Net migration,SM.POP.NETM,..
Georgia,GEO,Population growth (annual %),SP.POP.GROW,-0.165748398790001
